INDEX,STATE,YEAR,REVENUE_PER_STUDENT,TOTAL_EXPENDITURE_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT,SUPPORT_SERVICES_EXPENDITURE_PER_STUDENT,OTHER_EXPENDITURE_PER_STUDENT,CAPITAL_OUTLAY_EXPENDITURE_PER_STUDENT
0,ALABAMA,1992,,,,,,
1,ALASKA,1992,,,,,,
2,ARIZONA,1992,,,,,,
3,ARKANSAS,1992,,,,,,
4,CALIFORNIA,1992,,,,,,
5,COLORADO,1992,,,,,,
6,CONNECTICUT,1992,,,,,,
7,DELAWARE,1992,,,,,,
8,DISTRICT_OF_COLUMBIA,1992,,,,,,
9,FLORIDA,1992,,,,,,
10,GEORGIA,1992,,,,,,
11,HAWAII,1992,,,,,,
12,IDAHO,1992,,,,,,
13,ILLINOIS,1992,,,,,,
14,INDIANA,1992,,,,,,
15,IOWA,1992,,,,,,
16,KANSAS,1992,,,,,,
17,KENTUCKY,1992,,,,,,
18,LOUISIANA,1992,,,,,,
19,MAINE,1992,,,,,,
20,MARYLAND,1992,,,,,,
21,MASSACHUSETTS,1992,,,,,,
22,MICHIGAN,1992,,,,,,
23,MINNESOTA,1992,,,,,,
24,MISSISSIPPI,1992,,,,,,
25,MISSOURI,1992,,,,,,
26,MONTANA,1992,,,,,,
27,NEBRASKA,1992,,,,,,
28,NEVADA,1992,,,,,,
29,NEW_HAMPSHIRE,1992,,,,,,
30,NEW_JERSEY,1992,,,,,,
31,NEW_MEXICO,1992,,,,,,
32,NEW_YORK,1992,,,,,,
33,NORTH_CAROLINA,1992,,,,,,
34,NORTH_DAKOTA,1992,,,,,,
35,OHIO,1992,,,,,,
36,OKLAHOMA,1992,,,,,,
37,OREGON,1992,,,,,,
38,PENNSYLVANIA,1992,,,,,,
39,RHODE_ISLAND,1992,,,,,,
40,SOUTH_CAROLINA,1992,,,,,,
41,SOUTH_DAKOTA,1992,,,,,,
42,TENNESSEE,1992,,,,,,
43,TEXAS,1992,,,,,,
44,UTAH,1992,,,,,,
45,VERMONT,1992,,,,,,
46,VIRGINIA,1992,,,,,,
47,WASHINGTON,1992,,,,,,
48,WEST_VIRGINIA,1992,,,,,,
49,WISCONSIN,1992,,,,,,
50,WYOMING,1992,,,,,,
51,ALABAMA,1993,3.885294538,3.893597227,2.149956851,1.091285611,0.325981564,0.280613591
52,ALASKA,1993,9.833586451,9.297088052,4.084956585,3.580408729,0.299539437,1.120794678
53,ARIZONA,1993,5.068743466,5.358512606,2.334608907,1.479991779,0.242619737,1.005680936
54,ARKANSAS,1993,4.324889543,4.418515117,2.513521411,1.241124868,0.220327391,0.314110303
55,CALIFORNIA,1993,5.466763539,5.479950828,2.978904196,1.737802615,0.313563446,0.379111184
56,COLORADO,1993,5.668416312,5.612774262,2.850056901,1.768238752,0.170818367,0.591170594
57,CONNECTICUT,1993,8.61200039,8.645448997,4.879771486,2.523561297,0.303679877,0.395835717
58,DELAWARE,1993,6.554108572,6.655493268,3.782089981,1.9917589,0.254400843,0.453950458
59,DISTRICT_OF_COLUMBIA,1993,8.910028788,8.888888889,4.19172937,3.734769018,0.49197524,0.470415261
60,FLORIDA,1993,5.74085326,5.76863669,2.692729211,1.795970249,0.430290487,0.71915394
61,GEORGIA,1993,5.278408652,5.201653616,2.841130448,1.480957566,0.291445314,0.492199155
62,HAWAII,1993,5.987528741,5.990994545,3.271927551,1.715217979,0.539312925,0.464536089
63,IDAHO,1993,3.845906438,3.884692098,2.158225116,1.125945465,0.178032396,0.351242488
64,ILLINOIS,1993,5.700339447,5.786545536,2.973158714,1.805605326,0.229643249,0.458889587
65,INDIANA,1993,6.088834427,5.916796792,2.987922367,1.689898878,0.280698751,0.498625336
66,IOWA,1993,5.83194691,5.849450458,3.082365469,1.657881152,0.231578862,0.39699407
67,KANSAS,1993,5.287062899,5.587409102,2.901545843,1.778560654,0.315122412,0.433416248
68,KENTUCKY,1993,4.866626744,4.666911243,2.549651427,1.454936938,0.309691159,0.26074587
69,LOUISIANA,1993,4.32102413,4.306924932,2.385911358,1.254178925,0.330027309,0.217428514
70,MAINE,1993,6.468197872,6.249537849,3.826174525,1.553886086,0.320853289,0.262350421
71,MARYLAND,1993,6.541211678,6.515787724,3.704470307,2.005989227,0.298127286,0.432167321
72,MASSACHUSETTS,1993,7.097562305,6.584688607,3.753329585,1.995169827,0.222193752,0.068682137
73,MICHIGAN,1993,6.893558242,7.141447537,3.38110705,2.30515603,0.446949677,0.582700778
74,MINNESOTA,1993,6.221656264,6.769107152,3.526784686,1.699100268,0.596630355,0.655345806
75,MISSISSIPPI,1993,3.552157203,3.542816204,1.981041748,0.967793739,0.272507043,0.265855717
76,MISSOURI,1993,5.028061335,5.073882507,2.671686819,1.497796644,0.272796764,0.478715272
77,MONTANA,1993,5.123512195,5.245853659,2.808780488,1.647062156,0.404091267,0.312950433
78,NEBRASKA,1993,5.7765022,5.83740057,3.456766209,1.50810367,0.204596345,0.50156742
79,NEVADA,1993,5.152742252,5.678212757,2.745905244,1.619176472,0.187568994,0.877188731
80,NEW_HAMPSHIRE,1993,6.244263513,6.143381236,3.438842687,1.815295799,0.195822689,0.23729195
81,NEW_JERSEY,1993,10.32546428,10.163345,5.625777367,3.201738976,0.31182669,0.52448706
82,NEW_MEXICO,1993,4.325386362,4.346675811,2.088622529,1.520193172,0.221931224,0.455575021
83,NEW_YORK,1993,8.517959842,8.985564474,5.267098708,2.412350482,0.351359814,0.610386475
84,NORTH_CAROLINA,1993,5.017962748,4.920903153,2.730285556,1.371042282,0.31081324,0.431692845
85,NORTH_DAKOTA,1993,4.883688433,4.958061502,2.617494297,1.313562247,0.375838644,0.350062714
86,OHIO,1993,5.910683395,5.661886483,3.010771224,1.991586702,0.24609661,0.320779353
87,OKLAHOMA,1993,4.592157715,4.567897525,2.322364194,1.461116244,0.363094077,0.364267287
88,OREGON,1993,6.161496153,6.177009655,3.358640602,2.066318304,0.193766746,0.41153048
89,PENNSYLVANIA,1993,7.134094145,7.447872434,3.98652773,2.106089036,0.398218079,0.562164611
90,RHODE_ISLAND,1993,6.618688777,6.48874686,4.232389754,1.929666976,0.08306523,0.0914646
91,SOUTH_CAROLINA,1993,4.79900192,4.740304585,2.521138735,1.299522017,0.426940231,0.351202398
92,SOUTH_DAKOTA,1993,4.349836525,4.499439514,2.480607193,1.307454461,0.208388603,0.407585241
93,TENNESSEE,1993,3.869735802,3.890855342,2.331826232,0.925227427,0.248128259,0.293650286
94,TEXAS,1993,5.732756999,5.254065459,2.521472518,1.456828254,0.274849074,0.845609735
95,UTAH,1993,3.543637241,3.60140205,1.907592744,0.888701189,0.278502259,0.448413771
96,VERMONT,1993,8.59420855,8.31010528,4.164795698,1.985993392,0.232909886,0.160639892
97,VIRGINIA,1993,5.730340168,5.765967108,3.022027571,1.779344759,0.293425325,0.472954237
98,WASHINGTON,1993,5.881475836,6.462235424,3.100063937,1.814900072,0.262469078,1.051346969
99,WEST_VIRGINIA,1993,5.766586197,5.759328211,3.2213906,1.573749131,0.366200951,0.539734797
100,WISCONSIN,1993,6.462479722,6.803546078,3.753426971,1.965592189,0.23323061,0.603109452
101,WYOMING,1993,6.132106507,6.128886585,3.330286204,1.930198479,0.209813284,0.479259916
102,ALABAMA,1994,4.068776335,4.251026022,2.325457121,1.132106125,0.420514134,0.317132509
103,ALASKA,1994,8.495188426,9.010882552,4.167678496,3.604304582,0.295387025,0.79508832
104,ARIZONA,1994,5.034123662,5.368349513,2.332184868,1.48787972,0.259396851,0.983254338
105,ARKANSAS,1994,4.455738019,4.62426326,2.610435089,1.290740178,0.241238267,0.33690657
106,CALIFORNIA,1994,5.688837854,5.584928812,3.019990302,1.639206232,0.39209581,0.465007142
107,COLORADO,1994,5.571383081,5.665802355,2.864355769,1.778377641,0.174310825,0.597228742
108,CONNECTICUT,1994,8.902323564,8.617644237,5.070201159,2.547666218,0.31437348,0.110699822
109,DELAWARE,1994,6.800774701,7.056358521,3.988312039,2.09845638,0.292150855,0.489535758
110,DISTRICT_OF_COLUMBIA,1994,9.119214656,9.541857756,4.350975483,4.126911921,0.784241057,0.279729294
111,FLORIDA,1994,6.037573705,6.112638268,2.801691175,1.887172506,0.440640252,0.86756796
112,GEORGIA,1994,5.524300901,5.340676465,2.840799512,1.507981031,0.328158899,0.58553684
113,HAWAII,1994,6.257582279,6.32555791,3.395304947,1.780985807,0.515870914,0.633396243
114,IDAHO,1994,4.012260637,4.116925845,2.275515893,1.155760345,0.188204786,0.422022688
115,ILLINOIS,1994,6.028821038,5.727057564,3.053362659,1.849138786,0.237889908,0.271125229
116,INDIANA,1994,6.356492927,6.293860993,3.119006802,1.810653628,0.283980101,0.572424048
117,IOWA,1994,5.9996867,5.972931666,3.115370789,1.723307727,0.241506251,0.392448662
118,KANSAS,1994,5.899775857,5.774389178,2.996696844,1.87151115,0.341524957,0.376498654
119,KENTUCKY,1994,5.084892127,4.882065587,2.673517403,1.552901734,0.297774395,0.258471766
120,LOUISIANA,1994,4.474270711,4.433831635,2.445392278,1.294333544,0.338981501,0.247553588
121,MAINE,1994,6.409623532,6.321006371,3.774142662,1.535915855,0.341159301,0.346552937
122,MARYLAND,1994,6.654481141,6.714247811,3.640672605,2.165637724,0.328796927,0.501786089
123,MASSACHUSETTS,1994,7.306671879,7.28430311,4.030528252,2.181626289,0.216336291,0.322272802
124,MICHIGAN,1994,7.34312371,7.506303669,3.636511023,2.442751952,0.501438029,0.547737141
125,MINNESOTA,1994,6.554236885,6.951114255,3.582613558,1.728929535,0.611459772,0.703819716
126,MISSISSIPPI,1994,3.797532252,3.813887885,2.13068017,1.024288104,0.295039076,0.316234053
127,MISSOURI,1994,5.266024423,5.368338801,2.811760551,1.583277017,0.287820125,0.519926695
128,MONTANA,1994,5.360716725,5.355215652,3.099989022,1.657097726,0.221604215,0.306968433
129,NEBRASKA,1994,6.025147731,6.230580148,3.640832224,1.576439805,0.222241004,0.610940901
130,NEVADA,1994,5.371284987,5.700784563,2.774690416,1.725750636,0.189732824,0.780670059
131,NEW_HAMPSHIRE,1994,6.30282132,6.163103782,3.569377174,1.739625072,0.214207873,0.188565013
132,NEW_JERSEY,1994,10.67892761,10.38303042,5.405918773,3.730404541,0.412421687,0.492230882
133,NEW_MEXICO,1994,4.682914922,4.267552195,2.16955004,1.364856901,0.221611179,0.451696372
134,NEW_YORK,1994,8.854687327,9.38228527,5.486357988,2.509390711,0.367148032,0.635348512
135,NORTH_CAROLINA,1994,4.991234132,5.072986457,2.793300473,1.440008589,0.320520615,0.433544645
136,NORTH_DAKOTA,1994,5.084291704,5.230876088,2.685800401,1.332090118,0.391671858,0.428850461
137,OHIO,1994,5.909101467,5.933529904,3.184681781,2.023202667,0.260178103,0.362586876
138,OKLAHOMA,1994,4.800614564,4.834330208,2.420691574,1.495504581,0.367666492,0.410341361
139,OREGON,1994,5.957548344,6.156709264,3.31650094,2.060299947,0.212568838,0.430827989
140,PENNSYLVANIA,1994,7.712971783,7.962966407,4.126601038,2.205550012,0.408841616,0.559810912
141,RHODE_ISLAND,1994,6.990070247,6.865158227,4.430560731,2.075766985,0.097655226,0.10258215
142,SOUTH_CAROLINA,1994,5.011769898,4.975057336,2.595004847,1.51575546,0.333713736,0.395763026
143,SOUTH_DAKOTA,1994,4.683988233,4.844096681,2.624867437,1.366224329,0.215337655,0.486402494
144,TENNESSEE,1994,4.125834584,4.272357278,2.451538715,1.162284397,0.263227905,0.315756802
145,TEXAS,1994,5.473527381,5.337629077,2.725010113,1.691792071,0.25997445,0.476779244
